tsne_1,tsne_2
12.250794,3.4026592
-61.918022,21.921394
-29.29377,9.819679
-8.693371,-3.7060964
1.4185431,6.7593875
4.6518016,3.019546
-56.964077,-5.028271
29.742048,-7.783449
17.757807,9.878945
-14.316071,-0.75600827
2.8417864,10.875288
-20.16453,17.939304
27.99854,-3.2371705
61.386932,9.917433
61.625774,0.05705345
13.163324,9.625861
8.6801,8.108194
12.93277,17.942732
62.755383,-11.521769
-67.62681,17.24531
56.27589,7.8005013
21.181976,4.5105357
59.048214,25.177456
-3.5253127,-5.946484
-32.014053,15.138719
57.545837,-22.955854
56.99773,9.357129
-62.44352,-6.5685587
8.742681,14.617768
2.0783844,11.8669
59.03129,1.1809127
1.7361355,42.08395
24.90146,14.63033
-38.674904,-4.602058
30.772808,-12.247214
-33.261173,34.56406
-33.67913,-8.634081
-54.468395,-0.022198115
-47.09257,14.378178
-2.450189,28.981653
57.50884,-22.910635
-55.936813,1.0235904
-3.2760239,-1.033403
6.988558,6.8746324
78.74742,19.706339
-2.2650313,-3.3706155
-2.8003783,-25.3732
-10.025631,-1.9174422
-25.292122,1.2039651
53.700386,-20.336857
20.21567,14.3650675
42.138954,-4.584532
61.054558,5.32354
-33.44669,34.832912
-13.669563,-6.4276795
-6.4685965,-22.797577
-37.774467,11.922452
33.422657,-3.4887345
-26.653349,2.410326
84.471245,11.9602165
-59.283657,-2.8447115
0.80904776,-4.938447
7.9264407,-10.697004
32.808315,-22.02708
-66.779686,12.395919
68.17704,29.279293
27.41126,-8.748681
2.613013,0.9212152
33.45929,-17.910545
56.060112,25.32898
31.630527,-3.2963145
-37.77949,12.269937
-22.025133,-14.693067
-31.17786,-7.946811
-29.360687,-0.387193
58.475918,18.53573
-57.857075,15.434036
27.126148,-12.152066
89.57349,1.2968062
62.811844,-11.72795
25.906181,10.808014
-50.714886,7.494034
79.682724,21.809483
-51.38075,13.049934
-5.122615,-4.349239
83.25429,13.56144
36.171936,-21.97736
6.04138,-0.26740715
56.074516,20.514616
-41.0192,23.15765
-36.740128,-10.890746
15.47014,14.008176
-47.31175,-24.529196
-39.324696,20.514822
-62.282524,-19.068363
11.76913,14.121355
11.039123,5.254247
14.626442,7.177874
-63.1859,18.70603
5.1143785,39.885445
75.31048,20.250496
-72.51629,7.9068146
5.760511,-5.977694
22.501307,1.4575535
-55.967094,12.081704
60.65244,-11.35962
-8.8345995,-7.166645
60.777493,4.696005
56.862625,20.084854
44.115158,-22.053684
31.041021,-4.786223
-1.538832,1.1232319
-48.39269,16.20634
-5.054018,-8.009199
88.16742,3.8949497
17.41936,11.410942
26.41685,-11.506051
-13.404866,8.253557
35.393776,-5.688203
71.7204,29.581446
40.668243,-20.1531
-9.617968,1.7274303
-50.89872,4.0693927
-56.58775,23.924437
1.7937878,40.472717
11.575331,7.0034075
-64.67039,-13.441772
41.175995,-10.84521
85.66389,11.784339
59.32197,-14.381034
-33.77496,-9.693374
1.7493967,41.69951
78.276306,22.399956
43.012444,-21.338646
52.377228,-17.814978
79.77741,18.008114
-31.054789,-12.420747
61.208923,-17.258553
56.85718,-21.534573
9.667993,11.3988695
59.064205,26.576904
-38.863956,1.910533
57.968353,14.479905
-0.2587032,-3.6814034
-22.875443,-16.2114
-39.120934,3.07846
-21.886765,-9.464806
32.393898,-9.151619
-1.9110998,5.197959
33.215816,-1.4473011
-14.948081,27.012161
-0.12611626,-18.557585
-4.592201,-8.849787
22.900408,18.414696
-38.738617,-13.414112
55.968773,-13.62716
-22.405874,-31.211033
-60.909164,-3.3780675
-37.23999,7.3045073
-48.673157,0.8156881
-9.119892,-3.9637618
-30.441092,-9.849056
-30.06377,16.688578
31.703938,-12.904245
30.267775,7.9730844
61.074512,7.934603
-29.948738,16.229403
35.7734,-16.252064
-45.486694,0.4979033
21.594185,13.610582
18.711937,15.019738
51.69547,-17.062279
36.63975,-4.388874
-21.483624,-18.363825
-3.2551355,-19.13243
8.51755,0.8968515
88.19273,2.6190505
12.922626,2.6005995
-38.065636,11.46476
24.848484,-5.18208
35.12917,-7.6739664
-23.334293,-45.06338
61.481525,-8.497961
55.968777,8.855321
-61.724022,11.070504
56.42725,2.7915645
-67.6189,7.020227
-25.830557,-15.753651
20.687254,14.9833145
60.481873,-13.474692
-50.730434,27.90413
55.657368,6.545251
-51.8945,4.1882095
-44.29152,-16.39932
65.28818,-2.9244325
-29.830284,-9.495993
-49.848846,10.4296875
-45.40704,-2.8390594
-2.9469652,29.301117
-10.463187,-27.056438
16.503176,14.160863
33.98838,-4.4690795
-9.830334,3.5721908
51.901947,-20.155031
-30.156273,-10.786703
-0.060293484,-16.239794
20.769468,5.6929197
-36.746975,4.7547126
-32.100765,-11.637439
87.03225,6.097865
36.177258,-20.552078
-31.572968,-25.34312
12.610427,6.8511186
31.21666,3.7475834
59.16604,28.108862
-33.092945,-2.3678784
-32.894554,-4.3518715
-49.434753,3.9364238
-16.67881,-4.9783835
-10.913995,14.321444
-8.572547,-5.569298
-11.071716,-10.364035
-55.81091,1.1875138
-37.39213,-12.8774805
57.475132,10.854419
-53.66289,23.312971
24.285038,15.159408
57.423805,-15.108856
21.34054,8.659307
81.24901,19.545813
-60.086147,14.58291
-37.86413,21.061678
-52.637432,-4.360425
-49.13524,8.654507
-58.670742,19.078451
-3.2058842,10.916807
63.203648,-2.7559159
